Metric ID,Project ID,Carbon Reduction (tons/year),Renewable Energy (MWh/year),Biodiversity Index
706617b5-2d1e-4117-90b7-eeea586e7cca,P00001,4373,72585.0,0.86
7e5d633d-3866-483d-b20b-f7fbc4b181ab,P00002,39069,70062.0,0.88
8735c454-0fdc-476e-9886-00ba08571163,P00003,12088,55272.0,0.58
9cbfd2ee-9e43-4913-aa62-7f63e0ff7a92,P00004,3538,45478.0,0.64
fa954c1c-13a4-4763-9b38-56fb59da7e88,P00005,39948,,0.69
827b9dc6-3b72-4e0f-aa84-08fcbea20b3d,P00006,37905,50857.0,0.83
758464e3-dbff-4cf9-bbb3-971f3c4c56a8,P00007,2895,87751.0,0.65
d6d15182-d4aa-47d8-b39b-32bc01f3a015,P00008,16159,,0.88
e9ad98dd-4847-445a-9994-46976b15e843,P00009,17527,8736.0,0.56
dfdb9401-51c0-4817-86e0-f70b167d6f0c,P00010,16033,,0.54
70626991-c154-4729-980e-b51962a57255,P00011,22262,,0.98
25ebfd72-1cc1-4244-a611-173cadad7aa1,P00012,41941,79184.0,0.6
a3a5ddad-0ae7-46f4-96ee-f8edde80e1b6,P00013,48932,,0.66
0fdb660b-0704-4b99-a530-76df3b0b29b3,P00014,5011,54874.0,0.65
9eefef1d-46dc-4c90-a73c-4ce75d727306,P00015,5775,69813.0,0.63
15ef0439-3e51-46f9-aa6b-1ef48ab17c53,P00016,24956,,0.92
020ab348-ef9d-4dd5-87dd-7cb17723e5bf,P00017,16854,48191.0,0.83
c670637c-5d70-430d-b920-25f8e37d2c60,P00018,6404,7673.0,0.93
1914a1b4-0d4f-445f-a17b-27c503b41ae3,P00019,46643,53048.0,0.66
8a57e621-d870-42bd-9f3b-e2c87750f070,P00020,39026,,0.75
45b874d9-6fc2-4a30-8ea4-9f38d1c79b74,P00021,22420,81461.0,0.51
73b38001-97e2-4622-9cd9-0b1e3fb54c35,P00022,20938,85256.0,0.59
8f3d282c-f048-46b4-aabe-efd74fdeefd0,P00023,14663,,0.87
3832bdc9-2f82-41ee-9b61-44ffb2d2af44,P00024,41172,11510.0,0.64
25dd2c19-c334-4462-bbc3-b97b86d2c0af,P00025,7742,44117.0,0.63
5e7f9e2c-95eb-4e84-b911-6745b09b2627,P00026,35452,72720.0,0.52
ac57393a-3444-4390-885f-c60b7c101e6e,P00027,20793,,0.56
383dc74f-9b9a-443a-a11e-51003b8c6425,P00028,20424,,0.92
31853e1f-1643-4f10-8761-395af79b4a9d,P00029,2027,5896.0,0.8
9e92954b-9749-4b77-b4ae-afee98bd49de,P00030,14650,,0.57
0c7fd31a-b131-4206-bb6a-66d573f43d92,P00031,27695,,1.0
bfdcd5b7-f068-43a6-ab1c-ff6633aed397,P00032,41547,12048.0,0.52
02a1df6f-998e-405a-97d4-64a644df28a0,P00033,23801,,0.72
3f508169-8ac7-4fd9-bc57-c43b47354151,P00034,44134,44759.0,0.73
9392b1a6-f91c-43c1-8065-16577861ddcc,P00035,21246,85988.0,0.99
ac6cb293-1826-4957-b507-9b057bc18136,P00036,32842,,0.66
0e5f706a-2ee0-4619-9f71-94479ec1ab0e,P00037,43516,,0.94
20e5a7f5-a838-4b02-a37e-056782b5f8e3,P00038,24996,13955.0,0.8
d263ff53-120a-4684-ae46-afe25f370a47,P00039,5047,23433.0,0.55
6a09b965-ccbd-436a-b9c0-804e3550542d,P00040,46370,1123.0,0.82
93ba0d1b-9ca3-4342-ab97-86cedb18458c,P00041,21798,,0.77
6baf4a58-5fb3-4e34-8126-280fcb054acd,P00042,49778,60163.0,0.6
c6cecd19-a6d1-4983-a5d5-ed9afa56b886,P00043,12967,31592.0,0.85
04ca73ca-0af7-4913-af96-1a44e7a1a749,P00044,3994,43280.0,0.55
e30ce81c-26a5-4a72-a588-3cc5af7e8a69,P00045,41291,,0.89
0330f721-44ca-4c09-a68e-405a88d5f91e,P00046,22272,3317.0,0.65
445d2aa6-5749-42d8-8012-a812a9ff5f2a,P00047,6886,,0.86
b077d2eb-4093-4fe0-a519-6fcfe85dc9e7,P00048,47670,81068.0,0.6
dbff2a45-780c-41cd-a990-03201e873fe8,P00049,38457,,0.94
41693380-4862-4914-808f-bed14497093d,P00050,24145,,0.6
5d0a5b37-8b3a-46e0-b947-56bd5d8e0ad5,P00051,1844,40494.0,0.58
0050e396-24e9-4261-ba45-f5d4bf18721d,P00052,6446,,0.89
4ebf99d2-9abe-493c-a69f-fab958f8bd31,P00053,8584,79170.0,0.63
13aedf0b-2e1a-4ba2-9aa2-6321bbf71fb6,P00054,42720,34581.0,0.8
a96b29cd-cf44-40a6-baad-ff86fb5013c7,P00055,14245,81117.0,0.87
15ca88c7-8410-4b40-bb77-022d3cc8ea3a,P00056,30330,,0.79
dad48162-38bd-431c-b865-8f81df759834,P00057,11872,95992.0,0.91
b2ed2893-1346-4811-b3f3-bf1121689b72,P00058,31364,86104.0,0.78
050e1cf3-39d2-4466-bcce-8105897a8481,P00059,40075,,0.94
8edb291a-ee4d-4cb7-b320-6835ceca4b72,P00060,9894,74220.0,0.74
005bbcea-a38a-4f38-b2a8-d328c43843b6,P00061,30082,,0.51
180bee26-8a17-4ace-b72d-43fef3b09510,P00062,33382,3153.0,0.88
d96197ad-1b2e-4c21-adb2-15b89ed8d2f3,P00063,24073,84218.0,0.6
e3e6b8de-5126-436d-87ee-82a783a017bc,P00064,17249,86091.0,0.61
8e5c9434-3e3f-4d84-afe2-5e4997d97b52,P00065,46869,,0.73
e793ca4c-4167-4d18-9863-a4220ae1d47c,P00066,25403,20435.0,0.88
405f6fc8-8b1e-4a4f-9623-10419bb40459,P00067,33229,60106.0,0.6
945fc136-8d3c-499a-afa4-9da0e23cad2d,P00068,35391,,0.92
dcd184d3-6a38-4c83-8357-3be4785cc507,P00069,38173,96523.0,0.56
cf14ed00-332b-4ccc-a839-93253f598a91,P00070,34586,89632.0,0.62
ae9871dc-b09c-4d0c-979f-090f007d54b2,P00071,17860,55658.0,0.93
2b4e1bf2-1172-40cd-ab7f-bb0695e8bcf4,P00072,35370,9150.0,0.92
5675a514-f9d8-4015-a8b5-abcaf07c0a61,P00073,27950,76905.0,0.7
92f2206a-917b-4302-872a-ccf0d9179785,P00074,36818,18440.0,0.54
6a4f62de-7c84-403f-98b4-0089f9814260,P00075,25507,54709.0,0.72
06b22842-4033-4528-8e23-32fb1f77ce53,P00076,39515,,0.95
a2f11fc4-e280-4429-83da-6edc49c66624,P00077,46028,20196.0,0.98
dc33b7d0-b028-4abd-99b5-9a7281145a10,P00078,40107,83105.0,0.52
9a881e90-b438-4f9c-bb9e-af82dd5d4ef7,P00079,43422,,0.74
460ca8cd-1d86-4ac1-a5e4-8ee44fe93c11,P00080,13350,12634.0,0.55
42d43bf8-d92d-4768-8791-a4199690d2dd,P00081,43980,2847.0,0.82
cbb4b39f-71a1-401c-912e-9e3b6dcffa06,P00082,31300,,0.8
aa175f25-b16a-468c-b609-0221e681f2ec,P00083,23482,,0.72
04325120-8483-4b6d-a896-893a2010043c,P00084,3753,87814.0,0.61
dba2cc40-15c1-4c0e-88b2-510ccf3b7872,P00085,32083,,0.59
c4af24f8-66ae-4a34-af4d-c2b084c09fac,P00086,49434,45294.0,0.83
c37fd98d-8356-42ba-9109-e959c66d5592,P00087,27751,,0.78
767f4dc4-a232-457c-a2e9-3b9100c6c9e1,P00088,31497,15745.0,0.84
e5b000c5-20ba-4a71-b6cc-f9a3ed188efc,P00089,19488,55027.0,0.6
8a2bd1a3-3233-4e52-b458-f8c02aa253e1,P00090,41245,97106.0,0.9
56c2a8aa-42bd-45fb-a27c-9bb8cafc1bff,P00091,2493,4337.0,0.85
