Metric ID,Project ID,Compliance Score,Transparency Score,Governance Rating
d2029a5a-894e-4485-bb75-1979af6739a2,P00001,0.87,0.74,C
61189a4f-0654-4cf1-850a-1d120994e951,P00002,0.86,0.79,A
779e7f67-a114-4abc-b6ad-ca8130bea674,P00003,0.86,0.76,A
34057953-da5c-41a3-9d82-3e0cb3efc097,P00004,0.73,0.81,B
ec50c467-1ce8-4917-8329-26a4e89705f5,P00005,0.94,0.83,A+
7e6c2a2c-c327-496a-92bb-975a294fea1c,P00006,0.71,0.71,B
feb6bbe0-91ce-4ff7-bcce-3b46b198d439,P00007,0.81,0.81,B+
aabfb52e-7518-45d5-ac57-8cd4a761ae2d,P00008,0.72,0.8,A
7352d532-ed1d-42a6-86fd-04990fde2963,P00009,0.94,0.75,C
418d89da-8645-4eb0-996d-fbed38fd6a70,P00010,0.85,0.77,C
326c3427-f458-48da-931e-11f78dbc8f1c,P00011,0.92,0.84,C
42fd49e8-8f05-4111-af14-7ce1559af8d2,P00012,0.78,0.94,B
3317ed01-191a-40fe-b4d4-59b607abab90,P00013,0.94,0.89,B
72f2d207-2afd-4729-9d5c-01f74568b7f3,P00014,0.91,0.78,C
1241fd36-a79f-422d-8305-05e794c4eac6,P00015,0.9,0.71,C
b4d2e9ba-50c6-4ab3-8d2a-2245d9d0d765,P00016,0.88,0.75,C
14effdec-3712-4304-bab9-fe7d044b2824,P00017,0.81,0.76,A+
a1cce22c-b959-465f-b823-877bf590a4ab,P00018,0.77,0.75,A
9bed8336-2c89-4d6d-a472-a1eb817dcd4f,P00019,0.78,0.9,B
b28ddd24-0db0-4be1-be99-ddebd01c4e3a,P00020,0.89,0.76,B+
0b2e82d0-a8a5-4110-a1f9-61346027af34,P00021,0.87,0.76,C
27e95e71-0155-4e33-8a34-745871c12327,P00022,0.79,0.84,B
bb7d916f-6684-4b73-a998-fa87130a8443,P00023,0.9,0.93,C
e2ecd302-0145-4413-9d26-2295dd7da18e,P00024,0.75,0.93,A+
7e2297cc-5f6c-49fb-a7cd-c2a5044024a9,P00025,0.89,0.94,C
b32878c9-1e12-40db-85ef-16885a295195,P00026,0.94,0.79,C
d8253261-5ea4-477b-9afc-0bfbb2d618b1,P00027,0.85,0.78,A+
25e1491a-71fb-4aa3-91a7-7c95b0cf0266,P00028,0.86,0.89,A
8951bba7-fbbc-46fe-ab67-fcb887a06b6f,P00029,0.89,0.87,A
3d63a314-4f5c-4197-82c5-e6ef47001357,P00030,0.79,0.77,A
be7072e7-2ada-4edf-9444-99ae40e92068,P00031,0.94,0.88,B
3c78d6b2-e13e-4c7f-b50f-4ddb5fa67461,P00032,0.75,0.75,B
5db4aded-5746-403f-bc37-81eb8f92c1ef,P00033,0.81,0.73,A+
0bda55eb-6a36-4797-95bf-7f9504cd8c02,P00034,0.94,0.77,B
3cc33eab-6113-4585-a597-3642f1f4bf1a,P00035,0.73,0.88,A
9c37d40a-ae4c-4c1b-b1b9-a7e5af30028c,P00036,0.77,0.73,B+
61a30cbd-b17d-4443-a241-0c8a69e60929,P00037,0.94,0.75,B
7c1e18d5-005a-4f58-a0bb-dd1bf17c9933,P00038,0.84,0.9,A
6dc326c9-a970-4c75-b5a1-30756bbcb9cb,P00039,0.94,0.93,A+
ed192c1a-a0de-48f1-8b42-8c21d594fefe,P00040,0.8,0.86,C
8ed13ef6-c51b-466f-ba7a-729d812638be,P00041,0.76,0.93,A+
10ca6d07-04e6-4295-81ee-20581cd4c45c,P00042,0.71,0.89,B
e3280865-52e9-4ffe-95af-475dd8bc0ef8,P00043,0.89,0.93,C
aa1feb97-8c78-4222-bb29-e21d82544364,P00044,0.9,0.86,C
7c9a32ee-1003-4c81-b1d1-6943581347ca,P00045,0.8,0.91,C
349d6947-9206-4803-a9ce-93cf76feea10,P00046,0.92,0.82,B+
80d5210b-4bf7-49e0-abae-7acb4add6fea,P00047,0.83,0.83,B+
66fdb896-9213-4bee-9690-14a1e4915252,P00048,0.83,0.77,C
ea6c838a-b923-4d31-86f9-7dd0790e0243,P00049,0.73,0.93,A+
e3179856-05c2-4251-873a-0d4fdc113c75,P00050,0.82,0.89,B
