Project ID,Name,Sector,Location,Status,Budget (USD)
P00001,Project_YFFSGK,Urban Development,"Tokyo, Japan",Completed,3757063
P00002,Project_YEO9JM,Urban Development,"Delhi, India",Proposed,6975515
P00003,Project_4AP9M2,Renewable Energy,"Tokyo, Japan",Proposed,5571675
P00004,Project_EY0UIB,Sustainable Agriculture,"California, US",Proposed,3497900
P00005,Project_5QBRLP,Sustainable Agriculture,"Cape Town, South Africa",Completed,9888892
P00006,Project_05OVPW,Renewable Energy,"California, US",Proposed,1711188
P00007,Project_44FP7M,Water Management,"Delhi, India",Ongoing,3437333
P00008,Project_6HHKL4,Renewable Energy,"Scotland, UK",Proposed,8312742
P00009,Project_X6HLHG,Sustainable Agriculture,"Tokyo, Japan",Completed,6675423
P00010,Project_TOILFL,Urban Development,"California, US",Proposed,7533830
P00011,Project_INJ4T8,Water Management,"Scotland, UK",Proposed,9279936
P00012,Project_MH2XXB,Water Management,"Delhi, India",Proposed,2016381
P00013,Project_IMB8JT,Urban Development,"Delhi, India",Proposed,9640187
P00014,Project_PZ8ZY1,Sustainable Agriculture,"Scotland, UK",Completed,8045478
P00015,Project_NH8OM8,Renewable Energy,"Tokyo, Japan",Proposed,4078656
P00016,Project_RF4XLV,Sustainable Agriculture,"Scotland, UK",Completed,3744709
P00017,Project_6QIWRG,Water Management,"Delhi, India",Completed,7624227
P00018,Project_ERZYU6,Renewable Energy,"Tokyo, Japan",Ongoing,6676568
P00019,Project_XMQ7ND,Renewable Energy,"Tokyo, Japan",Completed,9461593
P00020,Project_JX3H3A,Water Management,"Scotland, UK",Ongoing,7105178
P00021,Project_7RHY0P,Water Management,"Scotland, UK",Ongoing,3649385
P00022,Project_87J0AV,Urban Development,"California, US",Completed,9376970
P00023,Project_SJEWOW,Water Management,"Tokyo, Japan",Completed,7937263
P00024,Project_Z95NNF,Urban Development,"Cape Town, South Africa",Proposed,5864664
P00025,Project_F64ABZ,Water Management,"Tokyo, Japan",Ongoing,4387348
P00026,Project_IMJD8E,Renewable Energy,"Scotland, UK",Ongoing,5356500
P00027,Project_RXX3BK,Water Management,"Tokyo, Japan",Proposed,4903480
P00028,Project_5GJKWN,Sustainable Agriculture,"Tokyo, Japan",Completed,6077806
P00029,Project_BXJ86J,Urban Development,"Scotland, UK",Completed,6086847
P00030,Project_579G8S,Sustainable Agriculture,"Delhi, India",Proposed,2673364
P00031,Project_9TJBAC,Urban Development,"Cape Town, South Africa",Ongoing,3814438
P00032,Project_H1B5A5,Sustainable Agriculture,"California, US",Proposed,7709085
P00033,Project_ZZ5DUT,Sustainable Agriculture,"Delhi, India",Completed,9758539
P00034,Project_HDK209,Water Management,"Tokyo, Japan",Ongoing,1250091
P00035,Project_G7P7FJ,Urban Development,"California, US",Ongoing,7808570
P00036,Project_DZWRG9,Sustainable Agriculture,"California, US",Completed,6445167
P00037,Project_P4XIAJ,Water Management,"Cape Town, South Africa",Ongoing,6438581
P00038,Project_3LUU71,Renewable Energy,"Scotland, UK",Completed,6914518
P00039,Project_XKGZAS,Water Management,"Delhi, India",Proposed,8833412
P00040,Project_FHFYYC,Water Management,"Delhi, India",Completed,1737932
P00041,Project_36LSHJ,Sustainable Agriculture,"Tokyo, Japan",Ongoing,3101408
P00042,Project_ZVOZPV,Urban Development,"California, US",Completed,4881548
P00043,Project_BA0EPA,Urban Development,"Tokyo, Japan",Proposed,1032094
P00044,Project_NO311N,Urban Development,"Tokyo, Japan",Ongoing,4641943
P00045,Project_68R72P,Urban Development,"Scotland, UK",Ongoing,6195218
P00046,Project_LNBXBI,Water Management,"Tokyo, Japan",Ongoing,6598878
P00047,Project_PK5QHM,Urban Development,"Scotland, UK",Proposed,2975933
P00048,Project_1DY4IV,Urban Development,"California, US",Ongoing,3550690
P00049,Project_INPJ6I,Sustainable Agriculture,"Scotland, UK",Completed,9846954
P00050,Project_A5KIWW,Urban Development,"Tokyo, Japan",Completed,2109890
P00051,Project_K9KU6X,Water Management,"Scotland, UK",Ongoing,5645341
P00052,Project_IG33HN,Sustainable Agriculture,"Cape Town, South Africa",Completed,4938788
P00053,Project_DEGD09,Sustainable Agriculture,"California, US",Proposed,6774714
P00054,Project_XUWGYE,Water Management,"California, US",Ongoing,3808759
P00055,Project_RF03VW,Renewable Energy,"Cape Town, South Africa",Ongoing,4946176
P00056,Project_MWREM7,Renewable Energy,"Scotland, UK",Proposed,8405067
P00057,Project_OKE9D7,Water Management,"California, US",Completed,5220738
P00058,Project_O1U5UM,Urban Development,"Delhi, India",Ongoing,4350068
P00059,Project_KKLY52,Sustainable Agriculture,"Tokyo, Japan",Proposed,9544851
P00060,Project_KW89MC,Urban Development,"Delhi, India",Completed,8821375
P00061,Project_6C4SWI,Urban Development,"Cape Town, South Africa",Ongoing,6199420
