Metric ID,Project ID,Jobs Created,Community Health Index,Education Opportunities
9deda496-293d-4e2d-8320-6e12ec4e8878,P00001,447,0.71,16
baf525d5-af7c-47b3-a342-c1ec16057654,P00002,365,0.67,39
9f623c43-5fff-4690-a341-7fef73a15c5a,P00003,31,0.86,80
1cd9f04a-f644-4f3a-8a58-fea25eee7322,P00004,15,0.88,89
2f859587-b168-42a6-a304-0220c7fd7bbb,P00005,444,0.87,42
eeb899df-9132-4e1f-ad0d-1a4451af2acb,P00006,373,0.64,62
2a625456-bdae-40c9-bd5a-59d7f3145e69,P00007,395,0.9,42
8ac879ed-50ef-428f-b00e-8854d9226770,P00008,86,0.79,84
f29db466-9933-4962-bf56-48d4c4344fe4,P00009,422,0.72,38
7a3cb8aa-359c-4e1e-bfcc-11b18be3fa40,P00010,58,0.87,28
28b409c2-35d8-494b-b318-ba5d39ed83ee,P00011,415,0.71,23
013f26d2-987c-493e-bb39-9e953b68919f,P00012,146,0.79,40
a3eb1bc4-86c3-4f58-b34a-0ea6600e344f,P00013,206,0.84,10
636e947f-548f-43cb-b8ea-210abe919744,P00014,239,0.72,70
33bcfcaa-5c77-4725-85ce-b7b635ed1dda,P00015,44,0.8,14
790e3a28-b8ee-47cd-8c91-dd8bcc04621f,P00016,399,0.67,41
8b1865c2-45e7-4373-bf2c-0e28f8185274,P00017,53,0.89,50
d98ef337-5290-4e58-a4bd-bd9878454db8,P00018,11,0.86,85
aabc8235-a5bb-48e7-9abb-866b8cc99563,P00019,118,0.82,13
7da2ca43-0305-4ec1-b61a-53d46a59bb2f,P00020,202,0.72,90
e00207a4-6379-46f0-9123-b87a5d06888f,P00021,487,0.7,42
5d2ab071-c735-46a6-9bc5-84dd00df8a11,P00022,279,0.82,95
35ef5202-24d9-436c-a60f-5557eeb31097,P00023,30,0.62,15
1d61d513-cfac-41ca-bc38-2a6c5c4c4bf7,P00024,282,0.89,21
35f3060d-1fa5-4a5a-93ea-4c2df66cc857,P00025,67,0.83,54
f350ac05-4e46-4cfb-a535-2c44fd937a45,P00026,179,0.94,44
73d22f83-071a-4759-90c2-25a093b2ce79,P00027,39,0.77,86
1a97c7f2-92dc-4288-8bcd-a1c3d0eadd24,P00028,499,0.7,49
f700c8cf-bbe3-41b7-b8c8-c2eb74fcf249,P00029,229,0.78,47
83fa9cff-6a78-4dab-844d-659128ad0b38,P00030,254,0.85,61
afe80365-832d-4e35-a557-6aaee4e01b49,P00031,91,0.79,59
d436e55e-0092-4de2-9b99-ba2259588c47,P00032,338,0.89,58
9130edf4-0096-44c5-bb11-7e628869cff4,P00033,356,0.77,13
17da4414-0ef0-4c13-8eea-e5691540ca5d,P00034,158,0.88,79
f419d553-825e-45be-81b5-17451ca46c06,P00035,119,0.7,27
980f306a-7963-44af-bced-17472df9b26a,P00036,322,0.88,59
28cba321-4085-41fb-be2c-8bb70a69e55c,P00037,13,0.62,74
e5505229-8e6d-4a2f-8849-cf79a2a58710,P00038,483,0.65,13
0add58b0-3a8a-4342-a88f-d90292bbecad,P00039,408,0.86,37
3f9bb080-42ca-447b-a2cd-bde822398124,P00040,225,0.76,79
cb48bb72-3dcb-4f4b-ad3a-33d3e115eb34,P00041,345,0.62,70
ef7c80c8-7739-4cbf-a952-d594ab66ded6,P00042,476,0.71,89
7c0a13ae-288f-4b58-86be-6c39934d9e23,P00043,177,0.64,24
8d269b32-53df-47de-a4df-92e89cbc1dfc,P00044,478,0.82,62
afb8dcf2-8692-43ac-b396-c6db1aa77fad,P00045,180,0.63,50
9107b89c-bc13-42f4-8daf-4ac5b4cf25b3,P00046,26,0.91,18
6a80d23b-5626-4775-a2f5-dd7219b36064,P00047,387,0.64,34
d5247340-5718-4cec-aa4e-eec3adeb5c72,P00048,435,0.8,65
9f6ffe08-5ca2-436d-b14b-0ee0dd19ee68,P00049,319,0.69,63
58d44eb5-ba65-4d97-aa8d-fc1fced1dd65,P00050,13,0.88,52
31c08507-21d1-434f-95d1-4346230e50d7,P00051,303,0.64,39
8d1323d5-c267-47b1-8fcf-b64e4e72d05c,P00052,374,0.61,92
